Windows 7|WindowsNT7|
Windows 7|WindowsNT6.1|
Windows Vista|WindowsNT6.0|
Windows XP|WindowsNT5.1|
Windows XP|WindowsXP|
Windows Server 2003|WindowsNT5.2|
Windows 2000|Windows2000|
Windows 2000|WindowsNT5.01|
Windows 2000|WindowsNT5.0|
Windows ME|WindowsME|
Windows ME|Win9x4.90|
Windows 98|Windows98|
Windows 98|Win98|
Windows 95|Windows95|
Windows 95|Win95|
Windows NT 4|WindowsNT4|
Windows NT 4|WinNT|
Windows NT 4|WindowsNT|
Windows 3.1|Win3.1|
Windows CE|WindowsCE|
Windows CE|WinCE|
Windows|Win32|
Sun Solaris|SunOS|
Sun Solaris|Solaris|
Wii|Wii|
iPhone|iPhone|
iPod|iPod|
iPad|iPad|
Android Linux|Android|
Mac OS X Cheetah|MacOSX10.0|
Mac OS X Cheetah|MacOSX10_0|
Mac OS X Puma|MacOSX10.1|
Mac OS X Puma|MacOSX10_1|
Mac OS X Jaguar|MacOSX10.2|
Mac OS X Jaguar|MacOSX10_2|
Mac OS X Panther|MacOSX10.3|
Mac OS X Panther|MacOSX10_3|
Mac OS X Tiger|MacOSX10.4|
Mac OS X Tiger|MacOSX10_4|
Mac OS X Leopard|MacOSX10.5|
Mac OS X Leopard|MacOSX10_5|
Mac OS X Snow Leopard|MacOSX10.6|
Mac OS X Snow Leopard|MacOSX10_6|
Mac OS X Lion|MacOSX10.7|
Mac OS X Lion|MacOSX10_7|
Mac OS X|MacOSX|
Mac|Mac|
FreeBSD|FreeBSD|
OpenBSD|OpenBSD|
Debian Linux|Debian|
Ubuntu Linux|Ubuntu|
Suse Linux|Suse|
Suse Linux|SUSE|
Fedora Linux|Fedora|
Linux|Linux|
Linux|linux|
WebTV|WebTV|
Amiga|Amiga|
Symbian|Symbian|
Mac OS X|Vienna|
Mac OS X|Ensemble2|
SGI Irix|Irix|
BlackBerry|BlackBerry|
Unix|Unix|
Unix|X11|
